Species ,Trophic,Replicate,Tile ,Quad,Day 
Rusticus,Omnivore,1,1,3,7
Rusticus,Omnivore,1,4,1,9
Rusticus,Omnivore,1,5,4,11
Rusticus,Omnivore,1,3,1,13
Rusticus,Omnivore,1,7,1,15
Rusticus,Omnivore,1,4,2,17
Rusticus,Omnivore,1,8,4,19
Rusticus,Omnivore,1,2,1,21
Rusticus,Omnivore,1,3,4,23
Rusticus,Omnivore,1,5,3,25
Rusticus,Omnivore,1,6,2,27
Rusticus,Omnivore,1,6,3,29
Rusticus,Omnivore,1,6,1,31
Rusticus,Omnivore,1,4,4,33
Rusticus,Omnivore,1,7,4,35
Rusticus,Omnivore,1,6,4,37
Rusticus,Omnivore,1,7,3,39
Rusticus,Omnivore,1,8,1,41
Rusticus,Omnivore,1,1,2,43
Rusticus,Omnivore,1,1,1,45
Rusticus,Omnivore,1,5,1,47
Rusticus,Omnivore,1,7,2,49
Rusticus,Omnivore,1,3,3,51
Rusticus,Omnivore,1,1,4,53
Rusticus,Omnivore,1,2,2,55
Rusticus,Omnivore,1,2,3,57
Rusticus,Omnivore,1,4,3,59
Rusticus,Omnivore,1,5,2,63
Rusticus,Omnivore,2,7,3,1
Rusticus,Omnivore,2,8,3,3
Rusticus,Omnivore,2,5,2,5
Rusticus,Omnivore,2,5,3,7
Rusticus,Omnivore,2,8,2,9
Rusticus,Omnivore,2,3,2,11
Rusticus,Omnivore,2,5,4,13
Rusticus,Omnivore,2,4,1,15
Rusticus,Omnivore,2,3,1,17
Rusticus,Omnivore,2,4,4,19
Rusticus,Omnivore,2,1,4,21
Rusticus,Omnivore,2,6,4,23
Rusticus,Omnivore,2,3,4,25
Rusticus,Omnivore,2,6,2,27
Rusticus,Omnivore,2,7,4,29
Rusticus,Omnivore,2,2,2,31
Rusticus,Omnivore,2,2,3,33
Rusticus,Omnivore,2,3,3,35
Rusticus,Omnivore,2,4,3,37
Rusticus,Omnivore,2,1,3,39
Rusticus,Omnivore,2,6,1,41
Rusticus,Omnivore,2,7,2,43
Rusticus,Omnivore,2,2,1,45
Rusticus,Omnivore,2,1,1,47
Rusticus,Omnivore,2,7,1,49
Rusticus,Omnivore,2,5,1,51
Rusticus,Omnivore,2,8,1,53
Rusticus,Omnivore,2,6,3,55
Rusticus,Omnivore,2,4,2,57
Rusticus,Omnivore,2,8,4,59
Rusticus,Omnivore,2,1,2,63
Rusticus,Omnivore,3,8,3,1
Rusticus,Omnivore,3,7,3,3
Rusticus,Omnivore,3,7,1,5
Rusticus,Omnivore,3,1,4,7
Rusticus,Omnivore,3,2,2,9
Rusticus,Omnivore,3,1,2,11
Rusticus,Omnivore,3,4,2,13
Rusticus,Omnivore,3,7,2,15
Rusticus,Omnivore,3,5,1,17
Rusticus,Omnivore,3,6,3,19
Rusticus,Omnivore,3,3,3,21
Rusticus,Omnivore,3,6,1,23
Rusticus,Omnivore,3,1,3,25
Rusticus,Omnivore,3,3,4,27
Rusticus,Omnivore,3,8,4,29
Rusticus,Omnivore,3,3,2,31
Rusticus,Omnivore,3,8,1,33
Rusticus,Omnivore,3,8,2,35
Rusticus,Omnivore,3,7,4,37
Rusticus,Omnivore,3,5,4,39
Rusticus,Omnivore,3,4,4,41
Rusticus,Omnivore,3,3,1,43
Rusticus,Omnivore,3,2,4,45
Rusticus,Omnivore,3,1,1,47
Rusticus,Omnivore,3,4,1,49
Rusticus,Omnivore,3,2,3,51
Rusticus,Omnivore,3,2,1,53
Rusticus,Omnivore,3,4,3,55
Rusticus,Omnivore,3,6,4,57
Rusticus,Omnivore,3,6,2,59
Rusticus,Omnivore,3,5,2,63
Rusticus,Omnivore,4,8,1,1
Rusticus,Omnivore,4,2,4,3
Rusticus,Omnivore,4,4,2,5
Rusticus,Omnivore,4,7,2,7
Rusticus,Omnivore,4,1,1,9
Rusticus,Omnivore,4,1,3,11
Rusticus,Omnivore,4,3,1,13
Rusticus,Omnivore,4,8,4,15
Rusticus,Omnivore,4,1,2,17
Rusticus,Omnivore,4,7,4,19
Rusticus,Omnivore,4,2,1,21
Rusticus,Omnivore,4,3,4,23
Rusticus,Omnivore,4,6,1,25
Rusticus,Omnivore,4,8,2,27
Rusticus,Omnivore,4,4,3,29
Rusticus,Omnivore,4,8,3,31
Rusticus,Omnivore,4,3,3,33
Rusticus,Omnivore,4,2,2,35
Rusticus,Omnivore,4,7,1,37
Rusticus,Omnivore,4,5,4,39
Rusticus,Omnivore,4,1,4,41
Rusticus,Omnivore,4,5,1,43
Rusticus,Omnivore,4,4,4,45
Rusticus,Omnivore,4,5,2,47
Rusticus,Omnivore,4,3,2,49
Rusticus,Omnivore,4,4,1,51
Rusticus,Omnivore,4,5,3,53
Rusticus,Omnivore,4,7,3,55
Rusticus,Omnivore,4,6,3,57
Rusticus,Omnivore,4,6,4,59
Rusticus,Omnivore,4,2,3,63
Rusticus,Predator,1,3,2,1
Rusticus,Predator,1,4,4,3
Rusticus,Predator,1,1,1,5
Rusticus,Predator,1,5,4,7
Rusticus,Predator,1,6,3,9
Rusticus,Predator,1,1,4,11
Rusticus,Predator,1,2,1,13
Rusticus,Predator,1,6,2,15
Rusticus,Predator,1,5,3,17
Rusticus,Predator,1,3,3,19
Rusticus,Predator,1,1,2,21
Rusticus,Predator,1,8,3,23
Rusticus,Predator,1,4,2,25
Rusticus,Predator,1,4,1,27
Rusticus,Predator,1,5,1,29
Rusticus,Predator,1,2,2,31
Rusticus,Predator,1,2,3,33
Rusticus,Predator,1,8,1,35
Rusticus,Predator,1,6,4,37
Rusticus,Predator,1,8,2,39
Rusticus,Predator,1,6,1,41
Rusticus,Predator,1,5,2,43
Rusticus,Predator,1,7,1,45
Rusticus,Predator,1,3,1,47
Rusticus,Predator,1,3,4,49
Rusticus,Predator,1,4,3,51
Rusticus,Predator,1,8,4,53
Rusticus,Predator,1,7,4,55
Rusticus,Predator,1,1,3,57
Rusticus,Predator,1,7,2,59
Rusticus,Predator,1,7,3,63
Rusticus,Predator,2,4,3,1
